year,totacc,fatacc,injacc,t,unem,spdlaw,beltlaw,wkends
1981,40511,365,15626,1,7.9,0,0,14
1981,36034,329,14469,2,8,0,0,12
1981,40328,369,16026,3,7.4,0,0,13
1981,37699,369,15560,4,7.2,0,0,12
1981,38816,355,16546,5,6.1,0,0,15
1981,38900,422,16778,6,6.7,0,0,12
1981,38625,470,16515,7,7.4,0,0,13
1981,39539,466,17063,8,6.9,0,0,14
1981,38070,398,16243,9,7,0,0,12
1981,40676,401,16810,10,7.6,0,0,14
1981,39270,356,15930,11,7.8,0,0,13
1981,39734,358,15764,12,8.6,0,0,12
1982,36672,278,14253,13,9.4,0,0,15
1982,32699,269,13268,14,9.6,0,0,12
1982,41283,347,16372,15,9.7,0,0,12
1982,36455,338,14893,16,9.4,0,0,13
1982,36690,331,15484,17,9,0,0,14
1982,35837,361,15244,18,9.4,0,0,12
1982,36850,360,15860,19,10.7,0,0,14
1982,36284,371,15511,20,10.2,0,0,13
1982,36791,394,15572,21,9.7,0,0,12
1982,38366,388,16360,22,10.3,0,0,15
1982,37741,325,15326,23,11,0,0,12
1982,38331,328,15296,24,11,0,0,13
1983,37201,272,14919,25,11.7,0,0,14
1983,35901,266,14401,26,11.9,0,0,12
1983,40354,308,16148,27,10.9,0,0,12
1983,38276,333,15871,28,9.9,0,0,14
1983,36544,361,15844,29,9.9,0,0,13
1983,36127,335,15765,30,10.1,0,0,12
1983,37446,375,16463,31,9.5,0,0,15
1983,38977,401,17018,32,9.5,0,0,14
1983,39443,397,17060,33,8.3,0,0,13
1983,40098,353,17139,34,8.1,0,0,14
1983,41483,327,16735,35,8.2,0,0,12
1983,43493,348,17464,36,8,0,0,14
1984,35242,320,14625,37,9.2,0,0,13
1984,35215,310,14692,38,8.8,0,0,12
1984,39151,353,16919,39,8.6,0,0,14
1984,37808,346,16322,40,7.7,0,0,13
1984,39706,375,17515,41,7.2,0,0,12
1984,38857,390,17058,42,7.4,0,0,14
1984,40083,421,17317,43,8.4,0,0,13
1984,41797,407,18135,44,7.5,0,0,13
1984,42034,434,18218,45,7.5,0,0,14
1984,43836,396,18630,46,7,0,0,12
1984,44638,345,18085,47,7.1,0,0,13
1984,45369,364,18041,48,6.9,0,0,14
1985,38642,318,15467,49,8,0,0,12
1985,38616,323,15787,50,7.4,0,0,12
1985,44493,364,18370,51,7.3,0,0,15
1985,41134,365,17458,52,7.3,0,0,12
1985,42369,367,18072,53,6.6,0,0,13
1985,42430,402,18390,54,7.6,0,0,14
1985,41219,380,17692,55,7.7,0,0,12
1985,43359,401,18748,56,7.3,0,0,14
1985,41422,344,17826,57,7,0,0,13
1985,43961,381,18634,58,7.2,0,0,12
1985,45906,335,18531,59,6.6,0,0,14
1985,44165,346,17715,60,6.3,0,0,13
1986,43522,339,16895,61,6.6,0,1,13
1986,42104,302,16584,62,7.7,0,1,12
1986,47128,338,18901,63,7.1,0,1,14
1986,44892,315,18623,64,6.7,0,1,12
1986,46833,388,19533,65,6.1,0,1,14
1986,46349,405,19619,66,6.5,0,1,13
1986,48098,407,20463,67,7.5,0,1,12
1986,49329,467,20847,68,6.7,0,1,15
1986,48899,441,20166,69,6.2,0,1,12
1986,49025,459,20538,70,6.2,0,1,13
1986,46975,396,19498,71,6.5,0,1,14
1986,50266,368,19838,72,6.3,0,1,12
1987,45158,355,17992,73,6.9,0,1,14
1987,44303,326,17889,74,6.7,0,1,12
1987,47529,368,19357,75,6.3,0,1,13
1987,45364,398,19275,76,5.8,0,1,12
1987,47072,421,20406,77,5.6,1,1,15
1987,47090,404,20239,78,5.4,1,1,12
1987,48880,430,20840,79,6,1,1,13
1987,48357,500,20443,80,5.4,1,1,14
1987,46768,467,19611,81,5.5,1,1,12
1987,52326,432,21741,82,5.6,1,1,14
1987,48475,403,19700,83,5.1,1,1,13
1987,51924,409,20254,84,4.9,1,1,12
1988,43569,333,17452,85,5.6,1,1,15
1988,42585,338,17643,86,5.8,1,1,12
1988,45944,381,19202,87,5.3,1,1,12
1988,47003,394,19633,88,5,1,1,14
1988,46066,387,19539,89,5.8,1,1,13
1988,45719,352,19363,90,5.4,1,1,12
1988,47161,439,20123,91,5.9,1,1,15
1988,47558,457,20200,92,5.6,1,1,12
1988,47052,442,19928,93,5,1,1,13
1988,48297,457,20195,94,4.8,1,1,14
1988,49136,414,19875,95,5.1,1,1,12
1988,52971,456,21090,96,4.3,1,1,14
1989,43142,360,17501,97,5.4,1,1,13
1989,42475,345,17168,98,5.5,1,1,12
1989,49753,366,20734,99,4.7,1,1,13
1989,45161,384,19377,100,5.1,1,1,14
1989,46083,405,20042,101,5.2,1,1,12
1989,45540,359,19283,102,5.5,1,1,13
1989,46325,474,20282,103,5.8,1,1,14
1989,46742,458,20206,104,4.7,1,1,12
1989,47932,454,20496,105,5,1,1,14
1989,48678,422,20967,106,4.6,1,1,13
1989,47971,396,20045,107,4.9,1,1,12
1989,47251,395,19601,108,4.8,1,1,15
